X,y
816,0.408351341
819,0.344731155
822,0.388775899
829,0.413245201
832,0.330113131
835,0.452332528
838,0.32521927
841,0.427863226
844,0.447438668
847,0.349625016
850,0.447438668
853,0.364306597
856,0.46701411
860,0.422969366
864,0.383882039
868,0.359412737
871,0.427863226
874,0.364306597
877,0.369200458
880,0.437650947
883,0.378988178
889,0.457226389
892,0.39366976
895,0.47190797
898,0.383882039
901,0.335006991
904,0.422969366
907,0.46701411
910,0.432757087
913,0.447438668
916,0.374094318
919,0.46701411
922,0.452332528
925,0.39856362
928,0.427863226
932,0.437650947
935,0.418139062
938,0.452332528
944,0.46701411
948,0.432757087
951,0.462120249
954,0.369200458
956,0.437650947
957,0.457226389
960,0.437650947
963,0.427863226
966,0.388775899
969,0.432757087
972,0.427863226
975,0.39856362
978,0.437650947
983,0.452332528
986,0.422969366
989,0.418139062
992,0.432757087
995,0.39856362
997,0.427863226
1001,0.457226389
1004,0.447438668
1007,0.39366976
1011,0.46701411
1015,0.442544807
1018,0.481695691
1022,0.462120249
1026,0.442544807
1029,0.364306597
1032,0.447438668
1035,0.374094318
1038,0.418139062
1041,0.427863226
1044,0.403457481
1047,0.422969366
1050,0.437650947
1053,0.359412737
1056,0.447438668
1059,0.457226389
1062,0.413245201
1065,0.374094318
1068,0.447438668
1071,0.422969366
1075,0.413245201
1083,0.437650947
1086,0.457226389
1089,0.39856362
1092,0.403457481
1095,0.47190797
1098,0.452332528
1101,0.374094318
1104,0.47680183
1108,0.378988178
1111,0.457226389
1114,0.39856362
1117,0.432757087
1120,0.437650947
1123,0.418139062
1126,0.452332528
1130,0.388775899
1133,0.413245201
1136,0.422969366
1140,0.481695691
1143,0.442544807
1146,0.388775899
1149,0.486589551
1152,0.496377272
1155,0.46701411
1158,0.481695691
1162,0.432757087
1167,0.452332528
1170,0.447438668
1173,0.452332528
1176,0.457226389
1180,0.496377272
1184,0.462120249
1188,0.418139062
1191,0.413245201
1194,0.39856362
1198,0.422969366
1204,0.418139062
1206,0.452332528
1210,0.408351341
1214,0.418139062
1219,0.427863226
1223,0.413245201
1227,0.418139062
1231,0.388775899
1235,0.418139062
1238,0.447438668
1242,0.413245201
1246,0.422969366
1249,0.442544807
1253,0.432757087
1256,0.413245201
1260,0.515889157
1264,0.46701411
1268,0.462120249
1271,0.427863226
1275,0.46701411
1278,0.447438668
1290,0.418139062
1294,0.496377272
1298,0.457226389
1301,0.432757087
1309,0.403457481
1312,0.418139062
1315,0.47680183
1321,0.447438668
1324,0.47680183
1328,0.442544807
1331,0.447438668
1335,0.46701411
1339,0.457226389
1343,0.432757087
1348,0.47190797
1352,0.452332528
1355,0.496377272
1358,0.520783018
